iter	Passed	Remaining
642	2484	6016
643	2489	6013
644	2491	6007
645	2497	6007
646	2501	6004
647	2505	6000
648	2508	5995
649	2518	6005
650	2522	6000
651	2525	5997
652	2529	5991
653	2533	5988
654	2537	5986
655	2541	5982
656	2549	5986
657	2552	5982
658	2556	5978
659	2559	5971
660	2561	5964
661	2564	5958
662	2569	5957
663	2573	5953
664	2577	5948
665	2580	5942
666	2583	5937
667	2586	5932
668	2589	5926
669	2594	5924
670	2598	5920
671	2601	5915
672	2604	5909
673	2607	5904
674	2611	5899
675	2615	5897
676	2618	5891
677	2623	5888
678	2626	5883
679	2630	5879
680	2633	5874
681	2636	5869
682	2640	5864
683	2644	5861
684	2648	5857
685	2651	5852
686	2654	5846
687	2657	5841
688	2661	5836
689	2664	5830
690	2667	5826
691	2671	5821
692	2674	5816
693	2678	5811
694	2681	5805
695	2683	5799
696	2692	5805
697	2695	5801
698	2698	5795
699	2701	5789
700	2704	5784
701	2708	5780
702	2711	5774
703	2715	5771
704	2719	5766
705	2722	5761
706	2726	5756
707	2728	5750
708	2733	5747
709	2737	5744
710	2739	5737
711	2743	5733
712	2749	5734
713	2753	5729
714	2756	5724
715	2759	5718
716	2766	5721
717	2770	5718
718	2774	5714
719	2777	5709
720	2780	5703
721	2783	5698
722	2787	5693
723	2790	5689
724	2793	5684
725	2796	5678
726	2800	5674
727	2804	5670
728	2807	5665
729	2811	5661
730	2814	5655
731	2817	5649
732	2820	5645
733	2823	5639
734	2827	5635
735	2830	5629
736	2833	5624
737	2836	5619
738	2840	5615
739	2844	5611
740	2848	5608
741	2851	5603
742	2854	5598
743	2858	5593
744	2864	5593
745	2866	5587
746	2869	5582
747	2873	5577
748	2877	5573
749	2880	5569
750	2883	5563
751	2886	5558
752	2889	5553
753	2893	5548
754	2896	5544
755	2900	5540
756	2904	5535
757	2907	5531
758	2910	5525
759	2913	5520
760	2923	5528
761	2927	5523
762	2930	5519
763	2934	5516
764	2938	5511
765	2941	5507
766	2944	5501
767	2948	5496
768	2951	5492
769	2954	5486
770	2959	5484
771	2962	5480
772	2965	5474
773	2968	5468
774	2972	5465
775	2975	5461
776	2979	5456
777	2982	5451
778	2987	5449
779	2999	5460
780	3003	5456
781	3006	5452
782	3011	5449
783	3022	5459
784	3026	5455
785	3030	5451
786	3034	5447
787	3036	5441
788	3041	5438
789	3045	5435
790	3048	5430
791	3051	5425
792	3055	5420
793	3059	5417
794	3062	5412
795	3065	5406
796	3069	5402
797	3072	5397
798	3075	5393
799	3079	5388
800	3082	5384
801	3086	5380
802	3089	5375
803	3097	5378
804	3101	5374
805	3104	5369
806	3114	5375
807	3117	5370
808	3120	5365
809	3125	5362
810	3128	5358
811	3134	5357
812	3138	5353
813	3141	5348
814	3144	5343
815	3147	5337
816	3151	5334
817	3155	5330
818	3158	5325
819	3161	5320
820	3165	5316
821	3168	5311
822	3176	5314
823	3179	5309
824	3183	5305
825	3187	5302
826	3191	5299
827	3195	5294
828	3199	5290
829	3207	5294
830	3212	5291
831	3216	5288
832	3220	5284
833	3224	5281
834	3229	5279
835	3233	5275
836	3236	5270
837	3239	5265
838	3243	5261
839	3253	5267
840	3256	5262
841	3260	5257
842	3263	5253
843	3267	5249
844	3270	5244
845	3273	5239
846	3277	5235
847	3280	5230
848	3284	5226
849	3288	5222
850	3291	5217
851	3295	5214
852	3298	5209
853	3302	5205
854	3305	5199
855	3309	5195
856	3312	5190
857	3315	5186
858	3319	5181
859	3329	5187
860	3332	5182
861	3335	5176
862	3338	5171
863	3344	5172
864	3348	5167
865	3351	5162
866	3354	5157
867	3358	5154
868	3362	5150
869	3365	5145
870	3369	5140
871	3373	5136
872	3376	5132
873	3380	5128
874	3383	5123
875	3386	5118
876	3389	5113
877	3392	5108
878	3396	5104
879	3400	5100
880	3404	5097
881	3408	5093
882	3411	5088
883	3414	5083
884	3418	5079
885	3421	5074
886	3424	5069
887	3428	5065
888	3431	5060
889	3435	5056
890	3440	5054
891	3443	5050
892	3447	5045
893	3450	5041
894	3455	5037
895	3458	5032
896	3461	5028
897	3465	5024
898	3469	5021
899	3479	5025
900	3482	5021
901	3486	5017
902	3489	5012
903	3493	5007
904	3496	5003
905	3505	5006
906	3508	5002
907	3512	4997
908	3517	4995
909	3520	4991
910	3524	4987
911	3527	4982
912	3530	4977
913	3534	4972
914	3537	4967
915	3540	4963
916	3543	4958
917	3547	4953
918	3550	4949
919	3554	4945
920	3558	4941
921	3561	4937
922	3565	4932
923	3568	4928
924	3572	4923
925	3577	4921
926	3581	4917
927	3584	4913
928	3590	4912
929	3593	4907
930	3597	4903
931	3601	4899
932	3604	4894
933	3608	4890
934	3611	4886
935	3615	4882
936	3618	4877
937	3623	4875
938	3626	4870
939	3630	4866
940	3634	4862
941	3637	4857
942	3641	4854
